TDEP        DTCO       DTSM       PR         TICO       TISS       TVDBML             VP         VPVS       VS
2099.9125977 -9999      -9999      -9999      -9999      -9999      -96.09309290981007 -9999      -9999      -9999     
2129.326   -9999      -9999      -9999      -9999      -9999      -66.67976118006045 -9999      -9999      -9999     
2129.479   -9999      -9999      -9999      -9999      -9999      -66.5274187036011 -9999      -9999      -9999     
2129.631   -9999      -9999      -9999      -9999      -9999      -66.37483208874107 -9999      -9999      -9999     
2129.783   -9999      -9999      -9999      -9999      -9999      -66.22248961264737 -9999      -9999      -9999     
2129.936   -9999      -9999      -9999      -9999      -9999      -66.070147136735 -9999      -9999      -9999     
2130.088   -9999      -9999      -9999      -9999      -9999      -65.91780466100526 -9999      -9999      -9999     
2130.24    -9999      -9999      -9999      -9999      -9999      -65.76546218545775 -9999      -9999      -9999     
2130.393   -9999      -9999      -9999      -9999      -9999      -65.61287557151016 -9999      -9999      -9999     
2130.545   -9999      -9999      -9999      -9999      -9999      -65.46053309632782 -9999      -9999      -9999     
2130.698   -9999      -9999      -9999      -9999      -9999      -65.30794648274599 -9999      -9999      -9999     
2130.85    -9999      -9999      -9999      -9999      -9999      -65.1556040079284 -9999      -9999      -9999     
2131.003   -9999      -9999      -9999      -9999      -9999      -65.00326153329303 -9999      -9999      -9999     
2131.155   -9999      -9999      -9999      -9999      -9999      -64.8509190588403 -9999      -9999      -9999     
2131.308   -9999      -9999      -9999      -9999      -9999      -64.69833244598928 -9999      -9999      -9999     
2131.46    -9999      -9999      -9999      -9999      -9999      -64.54598997190131 -9999      -9999      -9999     
2131.612   -9999      -9999      -9999      -9999      -9999      -64.39364749799599 -9999      -9999      -9999     
2131.765   -9999      -9999      -9999      -9999      -9999      -64.24130502427248 -9999      -9999      -9999     
2131.917   -9999      -9999      -9999      -9999      -9999      -64.08896255073248 -9999      -9999      -9999     
2132.07    -9999      -9999      -9999      -9999      -9999      -63.93637593879522 -9999      -9999      -9999     
2132.222   -9999      -9999      -9999      -9999      -9999      -63.78403346561954 -9999      -9999      -9999     
2132.374   -9999      -9999      -9999      -9999      -9999      -63.63169099262696 -9999      -9999      -9999     
2132.527   -9999      -9999      -9999      -9999      -9999      -63.47934851981664 -9999      -9999      -9999     
2132.679   -9999      -9999      -9999      -9999      -9999      -63.32676190861105 -9999      -9999      -9999     
2132.832   -9999      -9999      -9999      -9999      -9999      -63.17441943616547 -9999      -9999      -9999     
2132.984   -9999      -9999      -9999      -9999      -9999      -63.0220769639034 -9999      -9999      -9999     
2133.136   -9999      -9999      -9999      -9999      -9999      -62.8697344918223 -9999      -9999      -9999     
2133.289   -9999      -9999      -9999      -9999      -9999      -62.71714788134836 -9999      -9999      -9999     
2133.441   -9999      -9999      -9999      -9999      -9999      -62.56480540963375 -9999      -9999      -9999     
2133.594   -9999      -9999      -9999      -9999      -9999      -62.41246293810136 -9999      -9999      -9999     
2133.746   -9999      -9999      -9999      -9999      -9999      -62.26012046675206 -9999      -9999      -9999     
2133.898   -9999      -9999      -9999      -9999      -9999      -62.10777799558458 -9999      -9999      -9999     
2134.051   -9999      -9999      -9999      -9999      -9999      -61.95519138602533 -9999      -9999      -9999     
2134.203   -9999      -9999      -9999      -9999      -9999      -61.80284891522436 -9999      -9999      -9999     
2134.355   -9999      -9999      -9999      -9999      -9999      -61.65050644460476 -9999      -9999      -9999     
2134.508   -9999      -9999      -9999      -9999      -9999      -61.49816397416908 -9999      -9999      -9999     
2134.66    -9999      -9999      -9999      -9999      -9999      -61.34557736534158 -9999      -9999      -9999     
2134.813   -9999      -9999      -9999      -9999      -9999      -61.19323489527071 -9999      -9999      -9999     
2134.965   -9999      -9999      -9999      -9999      -9999      -61.04089242538337 -9999      -9999      -9999     
2135.117   -9999      -9999      -9999      -9999      -9999      -60.88854995567787 -9999      -9999      -9999     
2135.27    -9999      -9999      -9999      -9999      -9999      -60.73596334758249 -9999      -9999      -9999     
2135.422   -9999      -9999      -9999      -9999      -9999      -60.58362087824348 -9999      -9999      -9999     
2135.575   -9999      -9999      -9999      -9999      -9999      -60.43127840908628 -9999      -9999      -9999     
2135.727   -9999      -9999      -9999      -9999      -9999      -60.27893594011304 -9999      -9999      -9999     
2135.879   -9999      -9999      -9999      -9999      -9999      -60.12659347132165 -9999      -9999      -9999     
2136.032   -9999      -9999      -9999      -9999      -9999      -59.97400686414185 -9999      -9999      -9999     
2136.184   -9999      -9999      -9999      -9999      -9999      -59.82166439571608 -9999      -9999      -9999     
2136.337   -9999      -9999      -9999      -9999      -9999      -59.66932192747427 -9999      -9999      -9999     
2136.489   -9999      -9999      -9999      -9999      -9999      -59.51697945941432 -9999      -9999      -9999     
2136.642   -9999      -9999      -9999      -9999      -9999      -59.36439285296714 -9999      -9999      -9999     
2136.794   -9999      -9999      -9999      -9999      -9999      -59.21205038527369 -9999      -9999      -9999     
2136.946   -9999      -9999      -9999      -9999      -9999      -59.05970791776249 -9999      -9999      -9999     
2137.099   -9999      -9999      -9999      -9999      -9999      -58.90736545043481 -9999      -9999      -9999     
2137.251   -9999      -9999      -9999      -9999      -9999      -58.75477884472029 -9999      -9999      -9999     
2137.404   -9999      -9999      -9999      -9999      -9999      -58.60243637775914 -9999      -9999      -9999     
2137.556   -9999      -9999      -9999      -9999      -9999      -58.45009391097985 -9999      -9999      -9999     
2137.708   -9999      -9999      -9999      -9999      -9999      -58.29775144438364 -9999      -9999      -9999     
2137.861   -9999      -9999      -9999      -9999      -9999      -58.14540897797012 -9999      -9999      -9999     
2138.013   -9999      -9999      -9999      -9999      -9999      -57.99282237317291 -9999      -9999      -9999     
2138.166   -9999      -9999      -9999      -9999      -9999      -57.84047990712639 -9999      -9999      -9999     
2138.318   -9999      -9999      -9999      -9999      -9999      -57.68789330269504 -9999      -9999      -9999     
2138.47    -9999      -9999      -9999      -9999      -9999      -57.53555083701458 -9999      -9999      -9999     
2138.623   -9999      -9999      -9999      -9999      -9999      -57.38320837151683 -9999      -9999      -9999     
2138.775   -9999      -9999      -9999      -9999      -9999      -57.23086590620262 -9999      -9999      -9999     
2138.928   -9999      -9999      -9999      -9999      -9999      -57.07827930250479 -9999      -9999      -9999     
2139.08    -9999      -9999      -9999      -9999      -9999      -56.92593683755711 -9999      -9999      -9999     
2139.232   -9999      -9999      -9999      -9999      -9999      -56.77359437279129 -9999      -9999      -9999     
2139.385   -9999      -9999      -9999      -9999      -9999      -56.62125190820899 -9999      -9999      -9999     
2139.537   -9999      -9999      -9999      -9999      -9999      -56.46890944381026 -9999      -9999      -9999     
2139.69    -9999      -9999      -9999      -9999      -9999      -56.31632284102938 -9999      -9999      -9999     
2139.842   -9999      -9999      -9999      -9999      -9999      -56.16398037699718 -9999      -9999      -9999     
2139.994   -9999      -9999      -9999      -9999      -9999      -56.01163791314815 -9999      -9999      -9999     
2140.147   -9999      -9999      -9999      -9999      -9999      -55.85929544948137 -9999      -9999      -9999     
2140.299   -9999      -9999      -9999      -9999      -9999      -55.7067088474353 -9999      -9999      -9999     
2140.452   -9999      -9999      -9999      -9999      -9999      -55.55436638413551 -9999      -9999      -9999     
2140.604   -9999      -9999      -9999      -9999      -9999      -55.40202392101839 -9999      -9999      -9999     
2140.756   -9999      -9999      -9999      -9999      -9999      -55.2496814580857 -9999      -9999      -9999     
2140.909   -9999      -9999      -9999      -9999      -9999      -55.09709485677322 -9999      -9999      -9999     
2141.061   -9999      -9999      -9999      -9999      -9999      -54.94475239420665 -9999      -9999      -9999     
2141.214   -9999      -9999      -9999      -9999      -9999      -54.79240993182324 -9999      -9999      -9999     
2141.366   -9999      -9999      -9999      -9999      -9999      -54.64006746962294 -9999      -9999      -9999     
2141.518   -9999      -9999      -9999      -9999      -9999      -54.48772500760578 -9999      -9999      -9999     
2141.671   -9999      -9999      -9999      -9999      -9999      -54.33513840721112 -9999      -9999      -9999     
2141.823   -9999      -9999      -9999      -9999      -9999      -54.18279594556138 -9999      -9999      -9999     
2141.976   -9999      -9999      -9999      -9999      -9999      -54.0304534840948 -9999      -9999      -9999     
