TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2158.136   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2158.2884  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2158.4408  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2158.5932  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2158.7456  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2158.898   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.0504  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.2028  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.3552  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.5076  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.66    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.8124  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2159.9648  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.1172  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.2696  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.422   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.5744  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.7268  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2160.8792  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.0316  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.184   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.3364  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.4888  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.6412  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.7936  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2161.946   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2162.0984  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2162.2508  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
